Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5246874786,HaHa2108,0,196.36,DST Jets  FLEX D'Andre Swift QB Lamar Jackson RB Christian McCaffrey RB Javonte Williams TE Isaiah Likely WR DeVonta Smith WR Zay Flowers WR Devaughn Vele,,Michael Mayer,TE,64.71%,9.2
2,5247374710,GreenWeezy,0,174.35999,DST Steelers  FLEX D'Andre Swift QB Justin Herbert RB Saquon Barkley RB Javonte Williams TE Michael Mayer WR Chris Olave WR Ladd McConkey WR Garrett Wilson,,Jahmyr Gibbs,RB,52.94%,37.6
3,5245548006,Yolander,0,167.43999,DST Raiders  FLEX Darnell Mooney QB Jared Goff RB Jahmyr Gibbs RB Jonathan Taylor TE Michael Mayer WR Jaxon Smith-Njigba WR Chris Olave WR Romeo Doubs,,Ja'Marr Chase,WR,41.18%,3.2
4,5246428470,Marauder94,0,160.42,DST Cardinals  FLEX Jahmyr Gibbs QB Jalen Hurts RB D'Andre Swift RB Bhayshul Tuten TE Michael Mayer WR DeVonta Smith WR Tetairoa McMillan WR Garrett Wilson,,Jets ,DST,41.18%,9
5,5246324595,bill.reineking,0,158.29999,DST Jets  FLEX Sam LaPorta QB Jaxson Dart RB Jahmyr Gibbs RB Christian McCaffrey TE Michael Mayer WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Devaughn Vele,,Justin Herbert,QB,35.29%,14.26
6,5245814152,Zste2311,0,157.92,DST Jaguars  FLEX Michael Mayer QB Kyler Murray RB Jahmyr Gibbs RB Bijan Robinson TE Juwan Johnson WR Ja'Marr Chase WR Amon-Ra St. Brown WR Devaughn Vele,,Saquon Barkley,RB,35.29%,9
7,5245847800,bearsconner67,0,154.79999,DST Jaguars  FLEX Jahmyr Gibbs QB Jaxson Dart RB Travis Etienne Jr. RB Rhamondre Stevenson TE Michael Mayer WR Ja'Marr Chase WR Chris Olave WR Tre Tucker,,Chris Olave,WR,29.41%,31.2
8,5245819777,MKE_AL,0,149.76001,DST Jets  FLEX De'Von Achane QB Justin Herbert RB Jahmyr Gibbs RB Bijan Robinson TE Michael Mayer WR Ladd McConkey WR Garrett Wilson WR Tre Tucker,,Rhamondre Stevenson,RB,23.53%,14.5
9,5245890699,landoflakes,0,147.62,DST Vikings  FLEX DJ Moore QB Kyler Murray RB Jahmyr Gibbs RB Saquon Barkley TE Michael Mayer WR Justin Jefferson WR Ladd McConkey WR Michael Pittman Jr.,,Ladd McConkey,WR,23.53%,19.2
10,5247951233,Bobby_the_Butcher,0,135.86002,DST Chargers  FLEX Ladd McConkey QB Justin Herbert RB Saquon Barkley RB Rhamondre Stevenson TE Harold Fannin Jr. WR Chris Olave WR George Pickens WR Jalen Coker,,Garrett Wilson,WR,23.53%,13.9
