Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
11,5245805743,thom53,0,134.26001,DST Cowboys  FLEX Juwan Johnson QB Justin Herbert RB Jahmyr Gibbs RB Saquon Barkley TE Dalton Schultz WR CeeDee Lamb WR Ladd McConkey WR Garrett Wilson,,Devaughn Vele,WR,23.53%,19.9
12,5245021842,Annihilus,0,133.85999,DST Jets  FLEX Juwan Johnson QB Justin Herbert RB Jahmyr Gibbs RB Rhamondre Stevenson TE Michael Mayer WR Ja'Marr Chase WR Puka Nacua WR Parker Washington,,Tre Tucker,WR,17.65%,4.7
13,5247965141,Scheele,0,122.45999,DST Jets  FLEX MarShawn Lloyd QB Joe Burrow RB Jahmyr Gibbs RB Bijan Robinson TE Mike Gesicki WR Ja'Marr Chase WR Quentin Johnston WR Jauan Jennings,,Bijan Robinson,RB,17.65%,31.3
14,5248481543,urfullofBS23,0,121.96,DST Jets  FLEX Omarion Hampton QB Justin Herbert RB Jahmyr Gibbs RB Saquon Barkley TE Michael Mayer WR Ja'Marr Chase WR Luther Burden III WR Devaughn Vele,,Juwan Johnson,FLEX,11.76%,14.4
15,5245592013,SaquenDeezNuts,0,112.81999,DST Browns  FLEX Javonte Williams QB Jalen Hurts RB Saquon Barkley RB Omarion Hampton TE Harold Fannin Jr. WR Chris Olave WR Davante Adams WR Tre Tucker,,Jaxon Smith-Njigba,WR,11.76%,29.2
16,5245591154,SHEENING61,0,94.94,DST Browns  FLEX Bijan Robinson QB Baker Mayfield RB De'Von Achane RB Omarion Hampton TE Michael Mayer WR Drake London WR Davante Adams WR Michael Pittman Jr.,,De'Von Achane,RB,11.76%,10.6
17,5245616110,askfarwell,0,92.56,DST Jets  FLEX CeeDee Lamb QB Joe Burrow RB De'Von Achane RB Rhamondre Stevenson TE Michael Mayer WR Ja'Marr Chase WR Tee Higgins WR Ted Hurst III,,Omarion Hampton,RB,11.76%,9.3
,,,,,,,Davante Adams,WR,11.76%,5.6
,,,,,,,Michael Pittman Jr.,WR,11.76%,8.8
,,,,,,,Browns ,DST,11.76%,0
,,,,,,,Jalen Hurts,QB,11.76%,24.72
,,,,,,,Harold Fannin Jr.,TE,11.76%,4.1
,,,,,,,Joe Burrow,QB,11.76%,15.16
,,,,,,,Kyler Murray,QB,11.76%,0.62
,,,,,,,Jaguars ,DST,11.76%,13
,,,,,,,Jaxson Dart,QB,11.76%,26.6
,,,,,,,Jahmyr Gibbs,FLEX,11.76%,37.6
,,,,,,,Christian McCaffrey,RB,11.76%,13.8
,,,,,,,DeVonta Smith,WR,11.76%,8.3
,,,,,,,Javonte Williams,RB,11.76%,24.2
,,,,,,,D'Andre Swift,FLEX,11.76%,35.4
,,,,,,,Puka Nacua,WR,5.88%,12.4
,,,,,,,Parker Washington,WR,5.88%,19.3
,,,,,,,Jared Goff,QB,5.88%,16.44
,,,,,,,Jonathan Taylor,RB,5.88%,26.1
,,,,,,,Romeo Doubs,WR,5.88%,0
,,,,,,,Darnell Mooney,FLEX,5.88%,4.7
,,,,,,,Raiders ,DST,5.88%,13
,,,,,,,Baker Mayfield,QB,5.88%,14.64
,,,,,,,Bijan Robinson,FLEX,5.88%,31.3
,,,,,,,Drake London,WR,5.88%,5.5
,,,,,,,Javonte Williams,FLEX,5.88%,24.2
,,,,,,,CeeDee Lamb,FLEX,5.88%,15.4
,,,,,,,Tee Higgins,WR,5.88%,8.9
,,,,,,,Ted Hurst III,WR,5.88%,6.6
,,,,,,,Dalton Schultz,TE,5.88%,7.5
,,,,,,,Cowboys ,DST,5.88%,3
,,,,,,,Amon-Ra St. Brown,WR,5.88%,28.7
,,,,,,,Juwan Johnson,TE,5.88%,14.4
,,,,,,,Michael Mayer,FLEX,5.88%,9.2
,,,,,,,De'Von Achane,FLEX,5.88%,10.6
,,,,,,,Travis Etienne Jr.,RB,5.88%,14.8
,,,,,,,Justin Jefferson,WR,5.88%,31.2
,,,,,,,DJ Moore,FLEX,5.88%,24
,,,,,,,Vikings ,DST,5.88%,8
,,,,,,,Sam LaPorta,FLEX,5.88%,9.8
,,,,,,,D'Andre Swift,RB,5.88%,35.4
,,,,,,,Bhayshul Tuten,RB,5.88%,9.8
,,,,,,,Tetairoa McMillan,WR,5.88%,11.5
,,,,,,,Cardinals ,DST,5.88%,10
,,,,,,,Lamar Jackson,QB,5.88%,28.96
,,,,,,,Zay Flowers,WR,5.88%,29
,,,,,,,Isaiah Likely,TE,5.88%,27.8
,,,,,,,Steelers ,DST,5.88%,18
,,,,,,,George Pickens,WR,5.88%,5.8
,,,,,,,Ladd McConkey,FLEX,5.88%,19.2
,,,,,,,Jalen Coker,WR,5.88%,36.8
,,,,,,,Chargers ,DST,5.88%,1
,,,,,,,MarShawn Lloyd,FLEX,5.88%,3.7
,,,,,,,Quentin Johnston,WR,5.88%,3.7
,,,,,,,Jauan Jennings,WR,5.88%,0
,,,,,,,Mike Gesicki,TE,5.88%,18.8
,,,,,,,Omarion Hampton,FLEX,5.88%,9.3
,,,,,,,Luther Burden III,WR,5.88%,10.5
